Wall time,Step,Value
1685879950.324997,2048,-1.9457941055297852
1685879957.872052,3072,-1.9440430402755737
1685879965.3402286,4096,-1.9376040697097778
1685879972.9093444,5120,-1.9284124374389648
1685879980.518446,6144,-1.911431908607483
1685879988.0403862,7168,-1.9072117805480957
1685879995.6025553,8192,-1.9079482555389404
1685880003.1116889,9216,-1.8948140144348145
1685880015.697729,10240,-1.8416460752487183
1685880023.4285982,11264,-1.8359010219573975
1685880031.0002394,12288,-1.826136589050293
1685880038.568538,13312,-1.8063627481460571
1685880046.1438951,14336,-1.818820595741272
1685880053.6678317,15360,-1.814674973487854
1685880061.1927047,16384,-1.817770004272461
1685880073.8403955,17408,-1.7519031763076782
1685880081.4539955,18432,-1.6998363733291626
1685880089.0332565,19456,-1.73247230052948
1685880096.7106895,20480,-1.7338160276412964
1685880104.378022,21504,-1.734716773033142
1685880111.972528,22528,-1.7443294525146484
1685880119.5918267,23552,-1.7405800819396973
1685880127.2640262,24576,-1.7669628858566284
1685880134.8392656,25600,-1.678094744682312
1685880142.4005494,26624,-1.7697595357894897
1685880150.0294542,27648,-1.7540823221206665
1685880157.576699,28672,-1.7201017141342163
1685880165.1303015,29696,-1.6863925457000732
1685880172.7147822,30720,-1.6349427700042725
1685880180.397822,31744,-1.6149265766143799
1685880187.929569,32768,-1.6488529443740845
1685880195.5446482,33792,-1.5064237117767334
1685880203.109787,34816,-1.5968365669250488
1685880210.7038736,35840,-1.5930018424987793
1685880218.2615783,36864,-1.627949833869934
1685880225.8665347,37888,-1.6342394351959229
1685880233.4546762,38912,-1.615648865699768
1685880240.9856696,39936,-1.6098823547363281
1685880248.6821473,40960,-1.5959374904632568
1685880261.0482845,41984,-1.3414889574050903
1685880268.674436,43008,-1.5958513021469116
1685880276.276049,44032,-1.648817539215088
1685880283.8574665,45056,-1.7056553363800049
1685880291.3684232,46080,-1.6913505792617798
1685880299.023078,47104,-1.6395045518875122
1685880306.5954502,48128,-1.58884596824646
1685880318.4571931,49152,-1.6008808612823486
1685880331.0337472,50176,-1.1420750617980957
1685880338.627503,51200,-1.3080284595489502
1685880346.2372413,52224,-1.44608736038208
1685880353.868903,53248,-1.4908769130706787
1685880361.2525563,54272,-1.4911810159683228
1685880368.7962956,55296,-1.484342336654663
1685880376.3681197,56320,-1.5491279363632202
1685880383.9746208,57344,-1.5578773021697998
1685880391.5564542,58368,-1.2996350526809692
1685880399.036298,59392,-1.5417418479919434
1685880406.7700112,60416,-1.4505352973937988
1685880414.3032265,61440,-1.382954716682434
1685880421.8041425,62464,-1.4065916538238525
1685880429.304085,63488,-1.4397488832473755
1685880436.8964388,64512,-1.3963444232940674
1685880444.399919,65536,-1.3889648914337158
1685880451.9769416,66560,-1.0357657670974731
1685880459.5765254,67584,-1.1953822374343872
