Wall time,Step,Value
1685817759.3887284,3072,-1.945813536643982
1685817768.374354,4608,-1.944677472114563
1685817777.1031044,6144,-1.9433345794677734
1685817785.9419792,7680,-1.943493127822876
1685817794.4221509,9216,-1.942090392112732
1685817804.8775542,10752,-1.9402503967285156
1685817813.4261312,12288,-1.9399813413619995
1685817821.8017921,13824,-1.9370660781860352
1685817830.264422,15360,-1.9295670986175537
1685817838.872178,16896,-1.9198120832443237
1685817847.3295348,18432,-1.9140509366989136
1685817856.0006146,19968,-1.9101934432983398
1685817864.5408058,21504,-1.9019354581832886
1685817873.0490303,23040,-1.8986091613769531
1685817881.4903383,24576,-1.8847736120224
1685817891.5199027,26112,-1.8695073127746582
1685817900.073965,27648,-1.8673948049545288
1685817908.5313368,29184,-1.857572317123413
1685817917.1159446,30720,-1.8515567779541016
1685817925.4774194,32256,-1.8500679731369019
1685817934.1919887,33792,-1.8453201055526733
1685817943.1245196,35328,-1.8467442989349365
1685817951.6673605,36864,-1.8485039472579956
1685817960.3160655,38400,-1.8446683883666992
1685817968.8472757,39936,-1.838757872581482
1685817978.9065695,41472,-1.8420753479003906
1685817987.4450958,43008,-1.8352487087249756
1685817995.9123163,44544,-1.8376644849777222
1685818004.3437684,46080,-1.839401364326477
1685818013.0215716,47616,-1.8268851041793823
1685818021.839848,49152,-1.811381220817566
1685818032.1175919,50688,-1.8008754253387451
1685818040.6301029,52224,-1.8048003911972046
1685818049.1701546,53760,-1.8060826063156128
1685818057.748076,55296,-1.7890173196792603
1685818066.3742461,56832,-1.773507833480835
1685818076.2548957,58368,-1.7745007276535034
1685818084.8609045,59904,-1.774428367614746
1685818093.4793687,61440,-1.7770932912826538
1685818102.047757,62976,-1.7813246250152588
1685818110.72105,64512,-1.7785414457321167
1685818119.5008323,66048,-1.7750762701034546
1685818128.450799,67584,-1.7704917192459106
1685818137.3018644,69120,-1.7680253982543945
1685818146.1646516,70656,-1.7593930959701538
1685818155.1673005,72192,-1.751053810119629
1685818164.223509,73728,-1.75387704372406
1685818173.2573867,75264,-1.764359474182129
1685818182.4096372,76800,-1.7633240222930908
1685818191.5147994,78336,-1.7547389268875122
1685818201.635054,79872,-1.7436176538467407
1685818210.2707763,81408,-1.749297857284546
1685818218.7434077,82944,-1.7451326847076416
1685818227.4115553,84480,-1.7432258129119873
1685818235.9744291,86016,-1.7440834045410156
1685818244.655445,87552,-1.7466105222702026
1685818253.264124,89088,-1.7488521337509155
1685818261.7836585,90624,-1.7468818426132202
1685818270.381355,92160,-1.7433174848556519
1685818278.980628,93696,-1.7443684339523315
1685818287.598378,95232,-1.7399773597717285
1685818296.0107043,96768,-1.7383532524108887
1685818304.5340805,98304,-1.7372304201126099
1685818312.7420404,99840,-1.7375450134277344
1685818322.8550236,101376,-1.7440035343170166
1685818331.4492447,102912,-1.7382690906524658
1685818340.00946,104448,-1.736867904663086
1685818348.5195923,105984,-1.7421008348464966
1685818357.1084127,107520,-1.7491332292556763
1685818365.7560701,109056,-1.7672101259231567
1685818374.3732796,110592,-1.769222378730774
1685818384.4599652,112128,-1.7697309255599976
1685818393.392534,113664,-1.7721426486968994
1685818402.4502614,115200,-1.7827842235565186
1685818411.430771,116736,-1.8006446361541748
1685818420.1224246,118272,-1.7934062480926514
1685818428.6891778,119808,-1.7999534606933594
1685818437.2694404,121344,-1.8101295232772827
1685818445.791047,122880,-1.8118762969970703
1685818454.3481991,124416,-1.8141454458236694
1685818462.9328187,125952,-1.8157212734222412
