Wall time,Step,Value
1685869282.1595306,3584,-1.9456063508987427
1685869287.6364744,4096,-1.9456266164779663
1685869309.6246092,6144,-1.9450870752334595
1685869315.1821768,6656,-1.944759726524353
1685869326.0586283,7680,-1.9441007375717163
1685869331.5261314,8192,-1.9438276290893555
1685869336.9799087,8704,-1.9437986612319946
1685869347.8740864,9728,-1.9431411027908325
1685869355.5043752,10240,-1.9431860446929932
1685869361.1714046,10752,-1.9435949325561523
1685869366.7611127,11264,-1.943530559539795
1685869388.4324567,13312,-1.9418010711669922
1685869436.5671256,17920,-1.937178134918213
1685869441.9580424,18432,-1.9364465475082397
1685869452.7579482,19456,-1.9359742403030396
1685869468.91815,20992,-1.93356192111969
1685869474.2320945,21504,-1.9330401420593262
1685869484.850213,22528,-1.9319895505905151
1685869495.642711,23552,-1.9308544397354126
1685869501.0085373,24064,-1.9297807216644287
1685869514.0850208,25088,-1.9278295040130615
1685869525.498117,26112,-1.927428126335144
1685869530.9911585,26624,-1.9270706176757812
1685869547.2199273,28160,-1.9238508939743042
1685869552.568932,28672,-1.9246323108673096
1685869557.9697306,29184,-1.9249497652053833
1685869563.25166,29696,-1.9249093532562256
1685869568.588098,30208,-1.92501962184906
1685869584.7248213,31744,-1.9243284463882446
1685869590.1644068,32256,-1.9256161451339722
1685869600.989348,33280,-1.919752597808838
1685869611.824999,34304,-1.919980525970459
1685869617.0773814,34816,-1.920201063156128
1685869622.4596524,35328,-1.920130968093872
1685869627.7936287,35840,-1.919586181640625
1685869643.806489,37376,-1.9159239530563354
1685869649.1564472,37888,-1.914066195487976
1685869654.5265074,38400,-1.9134587049484253
1685869659.9657605,38912,-1.9139354228973389
1685869670.8725362,39936,-1.9172872304916382
1685869687.2802782,41472,-1.9088600873947144
1685869714.259208,44032,-1.9112231731414795
1685869719.6344936,44544,-1.909735083580017
1685869725.1738756,45056,-1.908303141593933
1685869730.6751592,45568,-1.9076311588287354
1685869736.170329,46080,-1.9055932760238647
1685869741.6270566,46592,-1.9038026332855225
1685869773.3163168,49152,-1.89198637008667
1685869819.7561035,53248,-1.8854650259017944
1685869836.589137,54784,-1.8754273653030396
1685869842.1154494,55296,-1.8740071058273315
1685869880.972313,58880,-1.875108242034912
1685869897.3842747,60416,-1.8705512285232544
1685869908.4293416,61440,-1.8725297451019287
1685869913.9739888,61952,-1.876792311668396
1685869919.5619698,62464,-1.8796604871749878
1685869941.7993855,64512,-1.8765047788619995
1685869947.1843245,65024,-1.8622671365737915
1685869952.6830294,65536,-1.8602849245071411
1685869968.9356377,67072,-1.867498755455017
1685869974.337839,67584,-1.866787075996399
1685869991.0827465,69120,-1.860592007637024
1685870012.9233267,71168,-1.866794228553772
1685870023.7964275,72192,-1.8654372692108154
1685870034.6919754,73216,-1.8594263792037964
1685870040.0437236,73728,-1.8598296642303467
1685870045.46875,74240,-1.858169674873352
1685870050.8995757,74752,-1.8574204444885254
1685870061.9654346,75776,-1.8602478504180908
1685870073.0152552,76800,-1.859424114227295
1685870084.0156171,77824,-1.8568522930145264
1685870100.4130967,79360,-1.861228346824646
1685870105.8759117,79872,-1.8618758916854858
1685870111.3573918,80384,-1.861316204071045
1685870122.2443578,81408,-1.8518871068954468
