Wall time,Step,Value
1686298383.4306595,1009216,2184.27001953125
1686298392.2947333,1010752,2182.340087890625
1686298436.6925533,1018432,2157.47998046875
1686298463.36426,1023040,2160.699951171875
1686298472.1761537,1024576,2164.360107421875
1686298498.743024,1029184,2167.7099609375
1686298508.9691713,1030720,2167.7099609375
1686298517.7205849,1032256,2196.580078125
1686298553.0370789,1038400,2208.429931640625
1686298659.330724,1056832,2206.7099609375
1686298694.5304315,1062976,2204.449951171875
1686298712.274408,1066048,2214.080078125
1686298729.931849,1069120,2188.14990234375
1686298738.6369715,1070656,2191.090087890625
1686298756.301053,1073728,2158.989990234375
1686298773.9319055,1076800,2144.64990234375
1686298808.9683635,1082944,2129.219970703125
1686298817.831557,1084480,2139.830078125
1686298826.7312074,1086016,2139.830078125
1686298835.544361,1087552,2155.080078125
1686298844.3715725,1089088,2147.409912109375
1686298896.4831712,1098304,2146.510009765625
1686298914.2183678,1101376,2162.570068359375
1686298923.0083065,1102912,2162.570068359375
1686298931.740573,1104448,2166.669921875
1686298940.6242154,1105984,2164.179931640625
1686298967.1068835,1110592,2152.31005859375
1686298975.52405,1112128,2155.35009765625
1686298984.3648643,1113664,2125.590087890625
1686298993.096973,1115200,2120.760009765625
1686299037.0348895,1122880,2080.31005859375
1686299080.9743755,1130560,2054.820068359375
1686299107.2091248,1135168,2065.760009765625
1686299115.97193,1136704,2078.989990234375
1686299167.9746525,1145920,2029.5899658203125
1686299239.2722082,1158208,2073.22998046875
1686299265.8652759,1162816,2064.739990234375
1686299274.774929,1164352,2056.110107421875
1686299336.5639145,1175104,1984.780029296875
1686299363.259498,1179712,1961.72998046875
1686299380.916034,1182784,1980.719970703125
1686299442.7791255,1193536,1961.77001953125
1686299451.6223948,1195072,1964.3399658203125
1686299478.094128,1199680,1962.6099853515625
1686299486.8590043,1201216,1955.510009765625
1686299548.7207773,1211968,1934.699951171875
1686299566.3750007,1215040,1919.760009765625
1686299584.0209424,1218112,1904.8299560546875
1686299592.8681638,1219648,1911.9200439453125
1686299601.6696918,1221184,1883.239990234375
1686299663.3461475,1231936,1893.3299560546875
1686299707.5756724,1239616,1895.9599609375
1686299725.2123969,1242688,1888.6400146484375
1686299734.014491,1244224,1892.8900146484375
1686299769.439479,1250368,1893.739990234375
1686299795.7695544,1254976,1891.97998046875
1686299813.472876,1258048,1908.1400146484375
1686299822.2181606,1259584,1915.7900390625
1686299848.5284731,1264192,1919.7099609375
