Wall time,Step,Value
1685902644.6591175,24576,652.0
1685902655.2979047,26112,652.0
1685902665.3526917,27648,652.0
1685902674.8708143,29184,652.0
1685902683.8427186,30720,652.0
1685902692.7272735,32256,652.0
1685902701.2980647,33792,652.0
1685902710.0511308,35328,1038.5
1685902720.143854,36864,1038.5
1685902728.8100944,38400,1038.5
1685902737.5264957,39936,1038.5
1685902746.8915596,41472,1038.5
1685902756.395111,43008,1038.5
1685902765.6008363,44544,1038.5
1685902774.9141548,46080,1038.5
1685902784.0250669,47616,1038.5
1685902793.131371,49152,1038.5
1685902803.5886662,50688,1038.5
1685902812.934669,52224,1038.5
1685902821.7571995,53760,1038.5
1685902830.5441828,55296,1038.5
1685902839.3991287,56832,1038.5
1685902848.2248645,58368,1038.5
1685902856.7588978,59904,939.3333129882812
1685902865.491582,61440,939.3333129882812
1685902874.2388403,62976,939.3333129882812
1685902883.0417798,64512,939.3333129882812
1685902891.7947533,66048,939.3333129882812
1685902900.5819721,67584,939.3333129882812
1685902909.389784,69120,939.3333129882812
1685902918.2051003,70656,939.3333129882812
1685902926.8564577,72192,939.3333129882812
1685902935.5923784,73728,939.3333129882812
1685902944.3481157,75264,939.3333129882812
1685902953.0667748,76800,982.25
1685902961.8023531,78336,982.25
1685902970.6674871,79872,982.25
1685902979.41579,81408,982.25
1685902988.266216,82944,982.25
1685902997.0301013,84480,982.25
1685903005.761483,86016,982.25
1685903014.5985003,87552,982.25
1685903023.2947252,89088,982.25
1685903031.9883795,90624,982.25
1685903040.6753101,92160,934.0
1685903049.362995,93696,934.0
1685903058.1694858,95232,934.0
1685903067.0445764,96768,934.0
1685903075.9361885,98304,934.0
1685903084.6860833,99840,934.0
1685903095.0351303,101376,934.0
1685903103.734721,102912,951.1666870117188
1685903112.443803,104448,951.1666870117188
1685903121.1513846,105984,951.1666870117188
1685903130.0136454,107520,951.1666870117188
1685903138.8050303,109056,951.1666870117188
1685903147.5316622,110592,951.1666870117188
1685903156.3320093,112128,951.1666870117188
1685903165.0617495,113664,951.1666870117188
1685903173.8253162,115200,951.1666870117188
1685903182.5267594,116736,951.1666870117188
1685903191.212207,118272,951.1666870117188
1685903200.0073342,119808,951.1666870117188
1685903208.8256998,121344,951.1666870117188
1685903217.6378756,122880,951.1666870117188
1685903226.4185834,124416,951.1666870117188
1685903235.299495,125952,951.1666870117188
1685903244.0474455,127488,927.5714111328125
1685903252.863049,129024,927.5714111328125
1685903261.5977294,130560,927.5714111328125
1685903270.348188,132096,927.5714111328125
1685903279.000638,133632,927.5714111328125
1685903288.5729475,135168,902.5
1685903297.2736895,136704,902.5
1685903305.9713624,138240,902.5
1685903314.633931,139776,902.5
1685903323.1508455,141312,902.5
1685903331.800277,142848,902.5
1685903340.4818013,144384,901.888916015625
1685903349.1881917,145920,901.888916015625
1685903357.867519,147456,901.888916015625
1685903366.5264547,148992,901.888916015625
1685903375.2688122,150528,901.888916015625
1685903384.0487306,152064,901.888916015625
1685903392.826109,153600,901.888916015625
1685903401.51741,155136,901.888916015625
1685903410.1659675,156672,901.888916015625
1685903418.9239068,158208,901.888916015625
1685903427.4588299,159744,901.888916015625
1685903436.227614,161280,923.2000122070312
1685903444.940726,162816,923.2000122070312
1685903453.6386716,164352,923.2000122070312
1685903462.5127246,165888,923.2000122070312
1685903471.3366377,167424,923.2000122070312
1685903480.180042,168960,923.2000122070312
1685903488.895795,170496,923.2000122070312
1685903497.6598167,172032,923.2000122070312
1685903506.4455178,173568,923.2000122070312
1685903515.1475706,175104,923.2000122070312
1685903523.871636,176640,923.2000122070312
1685903532.6412926,178176,923.2000122070312
1685903541.3569102,179712,923.2000122070312
1685903550.109475,181248,923.2000122070312
1685903558.867316,182784,923.2000122070312
1685903567.6343105,184320,923.2000122070312
1685903576.3756926,185856,910.1818237304688
1685903585.1060004,187392,910.1818237304688
1685903593.859742,188928,910.1818237304688
1685903602.6335883,190464,910.1818237304688
1685903611.42995,192000,910.1818237304688
1685903620.2225685,193536,910.1818237304688
1685903629.0521755,195072,910.1818237304688
1685903637.715197,196608,910.1818237304688
1685903646.4261725,198144,910.1818237304688
1685903655.185684,199680,910.1818237304688
1685903663.9528892,201216,910.1818237304688
1685903672.6885195,202752,915.1666870117188
1685903681.365182,204288,915.1666870117188
1685903690.1076183,205824,915.1666870117188
1685903698.8007348,207360,915.1666870117188
1685903707.6308715,208896,915.1666870117188
1685903716.3325176,210432,915.1666870117188
1685903725.0835373,211968,915.1666870117188
1685903733.883688,213504,915.1666870117188
1685903742.6126807,215040,915.1666870117188
1685903751.3661098,216576,915.1666870117188
1685903760.0981994,218112,915.1666870117188
1685903768.9056642,219648,915.1666870117188
1685903777.7368116,221184,915.1666870117188
1685903786.5305665,222720,915.1666870117188
1685903795.2509809,224256,915.1666870117188
1685903803.9389832,225792,915.1666870117188
1685903812.5741558,227328,875.6923217773438
1685903821.1775331,228864,875.6923217773438
1685903829.8455276,230400,875.6923217773438
1685903838.480006,231936,875.6923217773438
1685903847.1621912,233472,875.6923217773438
1685903855.9230442,235008,875.6923217773438
1685903864.633235,236544,875.6923217773438
1685903873.3472898,238080,875.6923217773438
1685903882.0536544,239616,875.6923217773438
1685903890.7530372,241152,875.6923217773438
1685903899.380732,242688,875.6923217773438
1685903908.011509,244224,875.6923217773438
1685903916.7204294,245760,875.6923217773438
1685903925.4589522,247296,875.6923217773438
1685903934.1506941,248832,875.6923217773438
1685903944.1687238,250368,875.6923217773438
1685903952.762587,251904,841.4285888671875
1685903961.3825362,253440,841.4285888671875
1685903970.0729008,254976,841.4285888671875
1685903978.807046,256512,841.4285888671875
1685903987.5292022,258048,841.4285888671875
1685903996.2740278,259584,841.4285888671875
1685904005.1246755,261120,841.4285888671875
1685904013.967929,262656,841.4285888671875
1685904022.7315419,264192,841.4285888671875
1685904031.397923,265728,841.4285888671875
1685904040.2145476,267264,825.2666625976562
1685904048.9349616,268800,825.2666625976562
1685904057.6102865,270336,825.2666625976562
1685904066.3502479,271872,825.2666625976562
1685904075.1711454,273408,825.2666625976562
1685904083.9966857,274944,825.2666625976562
1685904092.8433788,276480,840.8125
1685904101.5706954,278016,840.8125
1685904110.3107002,279552,840.8125
1685904119.054748,281088,840.8125
1685904127.8079975,282624,840.8125
1685904136.491117,284160,840.8125
1685904145.021747,285696,840.8125
1685904153.3734825,287232,840.8125
1685904162.2364717,288768,840.8125
1685904171.1014814,290304,840.8125
1685904179.9262261,291840,820.941162109375
1685904188.662812,293376,820.941162109375
1685904197.3555217,294912,820.941162109375
1685904205.9318602,296448,820.941162109375
1685904214.5959713,297984,820.941162109375
1685904223.232948,299520,820.941162109375
1685904231.8892667,301056,820.941162109375
1685904240.6759024,302592,820.941162109375
1685904249.4521308,304128,820.941162109375
1685904258.1085587,305664,820.941162109375
1685904266.7100322,307200,820.941162109375
1685904275.3699043,308736,820.941162109375
1685904283.9968865,310272,820.941162109375
1685904292.8020396,311808,820.941162109375
1685904301.5006924,313344,820.941162109375
1685904310.1193736,314880,820.941162109375
1685904318.9082394,316416,797.6666870117188
1685904327.69039,317952,797.6666870117188
1685904336.4329016,319488,797.6666870117188
1685904345.1186526,321024,797.6666870117188
1685904353.7307637,322560,797.6666870117188
1685904362.367291,324096,797.6666870117188
1685904371.1081269,325632,797.6666870117188
1685904379.8744268,327168,797.6666870117188
1685904388.563156,328704,797.6666870117188
1685904397.4663737,330240,797.6666870117188
1685904406.2803154,331776,797.6666870117188
1685904415.025935,333312,797.6666870117188
1685904423.7433684,334848,797.6666870117188
1685904432.5025,336384,797.6666870117188
1685904441.1903698,337920,797.6666870117188
1685904449.890942,339456,797.6666870117188
1685904458.5968564,340992,776.5263061523438
1685904467.3115408,342528,776.5263061523438
1685904476.2037315,344064,776.5263061523438
1685904485.03467,345600,776.5263061523438
1685904493.7501967,347136,776.5263061523438
1685904502.4955885,348672,776.5263061523438
1685904511.2613697,350208,776.5263061523438
1685904520.0283015,351744,776.5263061523438
1685904528.632749,353280,776.5263061523438
1685904537.3625948,354816,776.5263061523438
1685904546.0787144,356352,776.5263061523438
1685904554.9209945,357888,776.5263061523438
1685904563.7559345,359424,776.5263061523438
1685904572.397234,360960,776.5263061523438
1685904581.0644336,362496,776.5263061523438
1685904589.7265747,364032,757.5
1685904598.348483,365568,757.5
1685904607.0190184,367104,757.5
1685904615.2628229,368640,757.5
1685904623.969402,370176,757.5
1685904632.8401034,371712,757.5
1685904641.6825528,373248,757.5
1685904650.503073,374784,757.5
1685904659.2297082,376320,757.5
1685904668.0106373,377856,757.5
1685904676.6932547,379392,757.5
1685904685.4137206,380928,757.5
1685904694.0925233,382464,757.5
1685904702.8174438,384000,757.5
1685904711.6551995,385536,757.5
1685904720.5119183,387072,757.5
1685904729.128178,388608,746.6666870117188
1685904737.797729,390144,746.6666870117188
